08:15:23.145234 | SRC: 192.168.1.101 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:5E | PROTO: TCP | PORT: 443 | SIZE: 1420 bytes | FLAGS: [PSH,ACK]
08:15:24.891456 | SRC: 192.168.1.102 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:5F | PROTO: TCP | PORT: 443 | SIZE: 542 bytes | FLAGS: [PSH,ACK]
08:15:25.432189 | SRC: 192.168.1.101 | DST: 10.0.0.2 | MAC: 00:1A:2B:3C:4D:5E | PROTO: TCP | PORT: 80 | SIZE: 328 bytes | FLAGS: [SYN]
08:15:26.102345 | SRC: 10.0.0.25 | DST: 192.168.1.103 | MAC: A0:B1:C2:D3:E4:F5 | PROTO: UDP | PORT: 53 | SIZE: 64 bytes | FLAGS: [QUERY]
08:15:27.543678 | SRC: 192.168.1.103 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:60 | PROTO: TCP | PORT: 8080 | SIZE: 2048 bytes | FLAGS: [PSH,ACK]
08:15:28.234567 | SRC: 192.168.1.102 | DST: 10.0.0.3 | MAC: 00:1A:2B:3C:4D:5F | PROTO: TCP | PORT: 22 | SIZE: 156 bytes | FLAGS: [ACK]
08:15:29.876543 | SRC: 10.0.0.25 | DST: 192.168.1.104 | MAC: A0:B1:C2:D3:E4:F5 | PROTO: UDP | PORT: 53 | SIZE: 92 bytes | FLAGS: [RESPONSE]
08:15:30.145678 | SRC: 192.168.1.101 | DST: 10.0.0.2 | MAC: 00:1A:2B:3C:4D:5E | PROTO: TCP | PORT: 80 | SIZE: 1024 bytes | FLAGS: [PSH,ACK]
08:15:31.923456 | SRC: 192.168.1.104 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:61 | PROTO: HTTPS | PORT: 443 | SIZE: 3456 bytes | FLAGS: [PSH,ACK]
08:15:32.445789 | SRC: 192.168.1.103 | DST: 10.0.0.4 | MAC: 00:1A:2B:3C:4D:60 | PROTO: TCP | PORT: 3306 | SIZE: 892 bytes | FLAGS: [PSH,ACK]
08:15:33.567890 | SRC: 10.0.0.25 | DST: 192.168.1.101 | MAC: A0:B1:C2:D3:E4:F5 | PROTO: ICMP | PORT: - | SIZE: 84 bytes | FLAGS: [ECHO_REQUEST]
08:15:34.234123 | SRC: 192.168.1.105 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:62 | PROTO: TCP | PORT: 443 | SIZE: 256 bytes | FLAGS: [RST]
08:15:35.678901 | SRC: 192.168.1.102 | DST: 10.0.0.3 | MAC: 00:1A:2B:3C:4D:5F | PROTO: SSH | PORT: 22 | SIZE: 724 bytes | FLAGS: [PSH,ACK]
08:15:36.234567 | SRC: 192.168.1.101 | DST: 10.0.0.1 | MAC: 00:1A:2B:3C:4D:5E | PROTO: TCP | PORT: 443 | SIZE: 512 bytes | FLAGS: [ACK]
